country_iso3,country_name,indicator_code,metric_name,indicator_name,indicator_year,indicator_value,source,fetched_at_utc
MEX,Mexico,IT.CEL.SETS.P2,mobile_subscriptions_per_100_people,Mobile cellular subscriptions (per 100 people),2024,116.486713265167,world_bank_api,2026-06-11T10:40:28Z
MEX,Mexico,IT.NET.USER.ZS,internet_users_pct,Individuals using the Internet (% of population),2024,83.12233799,world_bank_api,2026-06-11T10:40:28Z
MEX,Mexico,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,GDP per capita (current US$),2024,14185.7812248529,world_bank_api,2026-06-11T10:40:28Z
MEX,Mexico,SP.POP.TOTL,population_total,"Population, total",2024,130861007,world_bank_api,2026-06-11T10:40:28Z
MEX,Mexico,SP.URB.TOTL.IN.ZS,urban_population_pct,Urban population (% of total population),2024,79.7538805976118,world_bank_api,2026-06-11T10:40:28Z
PHL,Philippines,IT.CEL.SETS.P2,mobile_subscriptions_per_100_people,Mobile cellular subscriptions (per 100 people),2024,115.298749599352,world_bank_api,2026-06-11T10:40:28Z
PHL,Philippines,IT.NET.USER.ZS,internet_users_pct,Individuals using the Internet (% of population),2024,67.26300914,world_bank_api,2026-06-11T10:40:28Z
PHL,Philippines,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,GDP per capita (current US$),2024,3984.8315387656,world_bank_api,2026-06-11T10:40:28Z
PHL,Philippines,SP.POP.TOTL,population_total,"Population, total",2024,115843670,world_bank_api,2026-06-11T10:40:28Z
PHL,Philippines,SP.URB.TOTL.IN.ZS,urban_population_pct,Urban population (% of total population),2024,55.4520983215477,world_bank_api,2026-06-11T10:40:28Z
SAU,Saudi Arabia,IT.CEL.SETS.P2,mobile_subscriptions_per_100_people,Mobile cellular subscriptions (per 100 people),2024,159.541370566589,world_bank_api,2026-06-11T10:40:28Z
SAU,Saudi Arabia,IT.NET.USER.ZS,internet_users_pct,Individuals using the Internet (% of population),2024,100,world_bank_api,2026-06-11T10:40:28Z
SAU,Saudi Arabia,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,GDP per capita (current US$),2024,35121.6628687742,world_bank_api,2026-06-11T10:40:28Z
SAU,Saudi Arabia,SP.POP.TOTL,population_total,"Population, total",2024,35300280,world_bank_api,2026-06-11T10:40:28Z
SAU,Saudi Arabia,SP.URB.TOTL.IN.ZS,urban_population_pct,Urban population (% of total population),2024,84.4554020211443,world_bank_api,2026-06-11T10:40:28Z
SGP,Singapore,IT.CEL.SETS.P2,mobile_subscriptions_per_100_people,Mobile cellular subscriptions (per 100 people),2024,170.78256295407,world_bank_api,2026-06-11T10:40:28Z
SGP,Singapore,IT.NET.USER.ZS,internet_users_pct,Individuals using the Internet (% of population),2024,94.37757178,world_bank_api,2026-06-11T10:40:28Z
SGP,Singapore,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,GDP per capita (current US$),2024,90674.066632628,world_bank_api,2026-06-11T10:40:28Z
SGP,Singapore,SP.POP.TOTL,population_total,"Population, total",2024,6036860,world_bank_api,2026-06-11T10:40:28Z
SGP,Singapore,SP.URB.TOTL.IN.ZS,urban_population_pct,Urban population (% of total population),2024,100,world_bank_api,2026-06-11T10:40:28Z
THA,Thailand,IT.CEL.SETS.P2,mobile_subscriptions_per_100_people,Mobile cellular subscriptions (per 100 people),2024,160.639312286761,world_bank_api,2026-06-11T10:40:28Z
THA,Thailand,IT.NET.USER.ZS,internet_users_pct,Individuals using the Internet (% of population),2024,90.86718789,world_bank_api,2026-06-11T10:40:28Z
THA,Thailand,NY.GDP.PCAP.CD,gdp_per_capita_current_usd,GDP per capita (current US$),2024,7346.62022142185,world_bank_api,2026-06-11T10:40:28Z
THA,Thailand,SP.POP.TOTL,population_total,"Population, total",2024,71668011,world_bank_api,2026-06-11T10:40:28Z
